,author,co-author,doi,co-author_list,title
683,"Jia, Fucang","['Xiao, Yaqiong']",['10.1007/s11682-015-9362-z'],"{'Xiao, Yaqiong'}",['The development of the intrinsic functional connectivity of default network subsystems from age 3 to 5']
684,"Mattingley, Jason B.","['Baumann, Oliver', 'Baumann, Oliver', 'Baumann, Oliver', 'Baumann, Oliver']","['10.1523/JNEUROSCI.3368-15.2016', '10.1016/j.neuroimage.2012.01.089', '10.1523/JNEUROSCI.3077-10.2010', '10.1016/j.neuroimage.2009.10.021']","{'Baumann, Oliver'}","['Functional Organization of the Parahippocampal Cortex: Dissociable Roles for Context Representations and the Perception of Visual Scenes', 'Distinct neural networks underlie encoding of categorical versus coordinate spatial relations during active navigation', 'Medial Parietal Cortex Encodes Perceived Heading Direction in Humans', 'Dissociable neural circuits for encoding and retrieval of object locations during active navigation in humans']"
685,"Mandal, Pravat K.","['Duggirala, Suvarnalata Xanthate']",['10.1016/j.bandc.2015.12.006'],"{'Duggirala, Suvarnalata Xanthate'}",['Stimulus-dependent modulation of working memory for identity monitoring: A functional MRI study']
686,"Haberg, Asta K.","['Pintzka, Carl W. S.', 'Evensmoen, Hallvard Roe', 'Evensmoen, Hallvard Roe', 'Lehn, Hanne', 'Xu, Jian']","['10.1016/j.bbr.2015.10.056', '10.1002/hipo.22357', '10.1162/jocn_a_00436', '10.1002/hipo.22073', '10.1016/j.neuroimage.2010.05.074']","{'Xu, Jian', 'Pintzka, Carl W. S.', 'Lehn, Hanne', 'Evensmoen, Hallvard Roe'}","['Changes in spatial cognition and brain activity after a single dose of testosterone in healthy women', 'From Details to Large Scale: The Representation of Environmental Positions Follows a Granularity Gradient Along the Human Hippocampal and Entorhinal Anterior-Posterior Axis', 'The Anterior Hippocampus Supports a Coarse, Global Environmental Representation and the Posterior Hippocampus Supports Fine-grained, Local Environmental Representations', 'Hippocampal involvement in retrieval of odor vs. object memories', 'Persistent posterior and transient anterior medial temporal lobe activity during navigation']"
687,"Johnston, Stephen J.","['Leek, E. Charles']",['10.3389/fnhum.2016.00009'],"{'Leek, E. Charles'}",['Domain General Sequence Operations Contribute to Pre-SMA Involvement in Visuo-spatial Processing']
688,"Whittingstall, Kevin","['Bernier, Michael']",['10.1097/WNR.0000000000000497'],"{'Bernier, Michael'}",['Increased BOLD activation in the left parahippocampal cortex after 1 year of medical school: an association with cumulative verbal memory learning']
689,"McCarley, Robert W.","['Nestor, Paul G.']",['10.3934/Neuroscience.2016.3.338'],"{'Nestor, Paul G.'}","['Prefrontal Lobe Gray Matter, Cognitive Control and Episodic Memory in Healthy Cognition']"
690,"Assal, Frederic","['van Assche, Mitsouko', 'Allali, Gilles']","['10.1016/j.nicl.2016.01.001', '10.1093/gerona/glt207']","{'Allali, Gilles', 'van Assche, Mitsouko'}","['Hurt but still alive: Residual activity in the parahippocampal cortex conditions the recognition of familiar places in a patient with topographic agnosia', 'The Neural Basis of Age-Related Changes in Motor Imagery of Gait: An fMRI Study']"
691,"Walhovd, Kristine B.","['Fjell, Anders M.']",['10.1016/j.neurobiolaging.2015.08.020'],"{'Fjell, Anders M.'}",['Functional connectivity change across multiple cortical networks relates to episodic memory changes in aging']
692,"Rondi-Reig, Laure","['Igloi, Kinga']",['10.1093/cercor/bhu132'],"{'Igloi, Kinga'}",['Interaction Between Hippocampus and Cerebellum Crus I in Sequence-Based but not Place-Based Navigation']
693,"Tootell, Roger B. H.","['Nasr, Shahin']",['10.1093/cercor/bhu290'],"{'Nasr, Shahin'}",['Increased Visual Stimulation Systematically Decreases Activity in Lateral Intermediate Cortex']
694,"Whittaker, Steve","['Benn, Yael']",['10.1038/srep14719'],"{'Benn, Yael'}",['Navigating through digital folders uses the same brain structures as real world navigation']
695,"Helmchen, C.","['Jandl, N. M.']",['10.1016/j.neuroscience.2015.07.089'],"{'Jandl, N. M.'}",['DISSOCIABLE CEREBELLAR ACTIVITY DURING SPATIAL NAVIGATION AND VISUAL MEMORY IN BILATERAL VESTIBULAR FAILURE']
696,"Coulson, Elizabeth J.","['Kerbler, Georg M.']",['10.3389/fnagi.2015.00185'],"{'Kerbler, Georg M.'}","[""Basal forebrain atrophy contributes to allocentric navigation impairment in alzheimer's disease patients""]"
697,"Behrmann, Marlene","['Kim, Jiye G.']",['10.1523/JNEUROSCI.0640-15.2015'],"{'Kim, Jiye G.'}",['A Neural Basis for Developmental Topographic Disorientation']
698,"de Quervain, Dominique J. -F.","['Luksys, Gediminas']",['10.1073/pnas.1500860112'],"{'Luksys, Gediminas'}",['Computational dissection of human episodic memory reveals mental process-specific genetic profiles']
699,"Egner, Tobias","['Chiu, Yu-Chin']",['10.1523/JNEUROSCI.0519-15.2015'],"{'Chiu, Yu-Chin'}",['Inhibition-Induced Forgetting Results from Resource Competition between Response Inhibition and Memory Encoding Processes']
700,"Fried, Itzhak","['Suthana, Nanthia A.']",['10.1073/pnas.1423036112'],"{'Suthana, Nanthia A.'}",['Specific responses of human hippocampal neurons are associated with better memory']
701,"Gallivan, Jason P.","['Hutchison, R. Matthew']",['10.1016/j.neuroimage.2015.04.068'],"{'Hutchison, R. Matthew'}",['Functional subdivisions of medial parieto-occipital cortex in humans and nonhuman primates using resting-state fMRI']
702,"Silbersweig, D. A.","['Pryor, K. O.']",['10.1093/bja/aev038'],"{'Pryor, K. O.'}",['Effect of propofol on the medial temporal lobe emotional memory system: a functional magnetic resonance imaging study in human subjects']
703,"Sommer, Tobias","['Bayer, Janine', 'Schwarze, Ulrike']","['10.1016/j.psyneuen.2015.03.011', '10.1523/JNEUROSCI.4497-11.2012']","{'Bayer, Janine', 'Schwarze, Ulrike'}","['The effect of estrogen synthesis inhibition on hippocampal memory', 'Event-Related Nociceptive Arousal Enhances Memory Consolidation for Neutral Scenes']"
704,"Yamaguchi, Yoko","['Mizuhara, Hiroaki']",['10.1016/j.neuroimage.2015.02.019'],"{'Mizuhara, Hiroaki'}",['Cortical networks dynamically emerge with the interplay of slow and fast oscillations for memory of a natural scene']
705,"Amso, Dima","['Markant, Julie']",['10.1016/j.nlm.2015.02.006'],"{'Markant, Julie'}",['Not all attention orienting is created equal: Recognition memory is enhanced when attention orienting involves distractor suppression']
706,"Simpson, H. Blair","['Marsh, Rachel']",['10.1176/appi.ajp.2014.13121700'],"{'Marsh, Rachel'}",['Reward-Based Spatial Learning in Unmedicated Adults With Obsessive-Compulsive Disorder']
707,"Wenderoth, Nicole","['Woolley, Daniel G.', 'Op de Beeck, Hans P.']","['10.1002/hbm.22700', '10.3389/fnins.2013.00078']","{'Woolley, Daniel G.', 'Op de Beeck, Hans P.'}","['Virtual Water Maze Learning in Human Increases Functional Connectivity Between Posterior Hippocampus and Dorsal Caudate', ""Combinatorial brain decoding of people's whereabouts during visuospatial navigation""]"
708,"Xue, Gui","['Lu, Yi']",['10.1016/j.cub.2015.01.055'],"{'Lu, Yi'}",['Spatiotemporal Neural Pattern Similarity Supports Episodic Memory']
709,"Chepesiuk, Alexander","['Buchsbaum, Bradley R.']",['10.1523/JNEUROSCI.2999-14.2015'],"{'Buchsbaum, Bradley R.'}","['Recency, Repetition, and the Multidimensional Basis of Recognition Memory']"
710,"van den Berg, Albert V.","['Amoldussee, David M.']",['10.3389/fnsys.2015.00016'],"{'Amoldussee, David M.'}",['Dissociation of retinal and headcentric disparity signals in dorsal human cortex']
711,"Bammer, Roland","[""O'Halloran, Rafael""]",['10.1002/mrm.25159'],"{""O'Halloran, Rafael""}",['Real-Time Correction of Rigid Body Motion-Induced Phase Errors for Diffusion-Weighted Steady-State Free Precession Imaging']
712,"Dudai, Yadin","['Ludmer, Rachel', 'Ben-Yakov, Aya']","['10.1002/hipo.22369', '10.1523/JNEUROSCI.1892-14.2014']","{'Ludmer, Rachel', 'Ben-Yakov, Aya'}","['The Naive and the Distrustful: State Dependency of Hippocampal Computations in Manipulative Memory Distortion', 'Shifting Gears in Hippocampus: Temporal Dissociation between Familiarity and Novelty Signatures in a Single Event']"
713,"O'Sullivan, Michael J.","['Ray, Nicola J.', 'Metzler-Baddeley, Claudia']","['10.1523/JNEUROSCI.3617-14.2015', '10.1523/JNEUROSCI.2317-11.2011']","{'Ray, Nicola J.', 'Metzler-Baddeley, Claudia'}","['Cholinergic Basal Forebrain Structure Influences the Reconfiguration of White Matter Connections to Support Residual Memory in Mild Cognitive Impairment', 'Frontotemporal Connections in Episodic Memory and Aging: A Diffusion MRI Tractography Study']"
714,"Thaler, Lore","['Fiehler, Katja']",['10.1163/22134808-00002491'],"{'Fiehler, Katja'}",['Neural Correlates of Human Echolocation of Path Direction During Walking']
715,"Gong, Qiyong","['Li, Kaiming']",['10.1038/sdata.2015.44'],"{'Li, Kaiming'}",['A multimodal MRI dataset of professional chess players']
716,"Salmon, Eric","[""D'Argembeau, Arnaud""]",['10.1162/jocn_a_00680'],"{""D'Argembeau, Arnaud""}",['The Neural Basis of Temporal Order Processing in Past and Future Thought']
717,"Sadato, Norihiro","['Iidaka, Tetsuya']",['10.1016/j.brainres.2014.10.003'],"{'Iidaka, Tetsuya'}",['False memory for face in short-term memory and neural activity in human amygdala']
718,"Thiel, Christiane M.","['Li, Shijia']",['10.1007/s11682-013-9287-3'],"{'Li, Shijia'}",['Effects of acute psychosocial stress on neural activity to emotional and neutral faces in a face recognition memory paradigm']
719,"Small, Scott A.","['Brickman, Adam M.']",['10.1038/nn.3850'],"{'Brickman, Adam M.'}",['Enhancing dentate gyrus function with dietary flavanols improves cognition in older adults']
720,"Pietrini, Pietro","['Bernardi, Giulio']",['10.3389/fnhum.2014.00888'],"{'Bernardi, Giulio'}","[""It's not all in your car: functional and structural correlates of exceptional driving skills in professional racers""]"
721,"Witte, Otto W.","['Hilgenstock, Raphael']",['10.1016/j.neuroimage.2014.05.049'],"{'Hilgenstock, Raphael'}","[""You'd Better Think Twice: Post-Decision Perceptual Confidence""]"
722,"Kahana, Michael J.","['Burke, John F.']",['10.1523/JNEUROSCI.2654-13.2014'],"{'Burke, John F.'}",['Theta and High-Frequency Activity Mark Spontaneous Recall of Episodic Memories']
723,"Moll, Jorge","['Bado, Patricia']",['10.1002/hbm.22403'],"{'Bado, Patricia'}",['Functional dissociation of ventral frontal and dorsomedial default mode network components during resting state and emotional autobiographical recall']
724,"Poldrack, Russell A.","['Davis, Tyler']",['10.1523/JNEUROSCI.3376-13.2014'],"{'Davis, Tyler'}",['Global Neural Pattern Similarity as a Common Basis for Categorization and Recognition Memory']
725,"Kawashima, Ryuta","['Shigemune, Yayoi', 'Sugiura, Motoaki']","['10.1093/cercor/bhs415', '10.1016/j.neuroimage.2006.05.026']","{'Sugiura, Motoaki', 'Shigemune, Yayoi'}","['Remembering with Gains and Losses: Effects of Monetary Reward and Punishment on Successful Encoding Activation of Source Memories', 'Multiple brain networks for visual self-recognition with different sensitivity for motion and body part']"
726,"Avila, Cesar","['Clemente, Miriam']",['10.1093/iwc/iwt037'],"{'Clemente, Miriam'}",['An fMRI Study to Analyze Neural Correlates of Presence during Virtual Reality Experiences']
727,"Yarkoni, Tal","['Andrews-Hanna, Jessica R.']",['10.1016/j.neuroimage.2014.01.032'],"{'Andrews-Hanna, Jessica R.'}","['Contributions of episodic retrieval and mentalizing to autobiographical thought: Evidence from functional neuroimaging, resting-state connectivity, and fMRI meta-analyses']"
728,"Malach, Rafael","['Salomon, Roy']",['10.1002/hbm.22268'],"{'Salomon, Roy'}",['Deconstructing the Default: Cortical subdivision of the Default Mode/Intrinsic System During Self-Related Processing']
729,"Baciu, Monica","['Gomez, Alice']",['10.3389/fnhum.2014.00150'],"{'Gomez, Alice'}","['Differential hippocampal and retrosplenial involvement in egocentric-updating, rotation, and allocentric processing during online spatial encoding: an fMRI study']"
730,"Castelo-Branco, Miguel","['Duarte, Isabel Catarina']",['10.1371/journal.pone.0086213'],"{'Duarte, Isabel Catarina'}",['Anterior/Posterior Competitive Deactivation/Activation Dichotomy in the Human Hippocampus as Revealed by a 3D Navigation Task']
731,"Petrosini, Laura","['Palermo, Liana']",['10.1037/neu0000021'],"{'Palermo, Liana'}",['I Find My Way in a Maze But Not in My Own Territory! Navigational Processing in Developmental Topographical Disorientation']
732,"Jagust, William J.","['Oh, Hwamee']",['10.1523/JNEUROSCI.2775-13.2013'],"{'Oh, Hwamee'}",['Frontotemporal Network Connectivity during Memory Encoding Is Increased with Aging and Disrupted by Beta-Amyloid']
733,"Soderlund, Hedvig","['Persson, Jonas']",['10.1016/j.bbr.2013.07.050'],"{'Persson, Jonas'}",['Remembering our origin: Gender differences in spatial memory are reflected in gender differences in hippocampal lateralization']
734,"Lepore, Franco","['Voss, Patrice']",['10.1186/1471-2202-14-113'],"{'Voss, Patrice'}",['Assessment of the caudate nucleus and its relation to route learning in both congenital and late blind individuals']
735,"Duezel, Emrah","['Wittmann, Bianca C.', 'Wittmann, Bianca C.', 'Schott, Bjoern H.']","['10.1016/j.neuropsychologia.2013.09.031', '10.1016/j.neuropsychologia.2013.07.018', '10.1371/journal.pone.0015984']","{'Schott, Bjoern H.', 'Wittmann, Bianca C.'}","['Reprint of: DAT genotype modulates striatal processing and long-term memory for items associated with reward and punishment', 'DAT genotype modulates striatal processing and long-term memory for items associated with reward and punishment', 'Genetic Variation of the Serotonin 2a Receptor Affects Hippocampal Novelty Processing in Humans']"
736,"Stark, Craig E. L.","['Stark, Shauna M.', 'Yassa, Michael A.', 'Bakker, Arnold']","['10.1016/j.neuropsychologia.2012.12.014', '10.1073/pnas.1101567108', '10.1126/science.1152882']","{'Bakker, Arnold', 'Stark, Shauna M.', 'Yassa, Michael A.'}","['A task to assess behavioral pattern separation (BPS) in humans: Data from healthy aging and mild cognitive impairment', 'Age-related memory deficits linked to circuit-specific disruptions in the hippocampus', 'Pattern separation in the human hippocampal CA3 and dentate gyrus']"
737,"Konishi, Seiki","['Hirose, Satoshi']",['10.1371/journal.pone.0071210'],"{'Hirose, Satoshi'}",['Dissociable Temporo-Parietal Memory Networks Revealed by Functional Connectivity during Episodic Retrieval']
738,"Henson, Richard N.","['Staresina, Bernhard P.', 'Staresina, Bernhard P.']","['10.1523/JNEUROSCI.1987-13.2013', '10.1038/nn.3154']","{'Staresina, Bernhard P.'}","['Reversible Information Flow across the Medial Temporal Lobe: The Hippocampus Links Cortical Modules during Memory Retrieval', 'Memory signals are temporally dissociated in and across human hippocampus and perirhinal cortex']"
739,"Finkelmeyer, Andreas","['Nilsson, Jonna']",['10.1162/jocn_a_00396'],"{'Nilsson, Jonna'}",['Negative BOLD Response in the Hippocampus during Short-term Spatial Memory Retrieval']
740,"Roeder, Brigitte","['Hoetting, Kirsten']",['10.1186/1471-2202-14-73'],"{'Hoetting, Kirsten'}",['Effects of a cognitive training on spatial learning and associated functional brain activations']
741,"Irle, Eva","['Weniger, Godehard', 'Weniger, Godehard', 'Weniger, Godehard', 'Weniger, Godehard']","['10.1016/j.pscychresns.2012.11.004', '10.1016/j.nlm.2009.08.003', '10.1016/j.neuropsychologia.2008.08.018', '10.1111/j.1460-9568.2006.05108.x']","{'Weniger, Godehard'}","['Egocentric virtual maze learning in adult survivors of childhood abuse with dissociative disorders: Evidence from functional magnetic resonance imaging', 'The human parahippocampal cortex subserves egocentric spatial learning during navigation in a virtual maze', 'Egocentric memory impaired and allocentric memory intact as assessed by virtual reality in subjects with unilateral parietal cortex lesions', 'Posterior parahippocampal gyrus lesions in the human impair egocentric learning in a virtual environment']"
742,"Ekstrom, Arne","['Zhang, Hui']",['10.1002/hbm.21494'],"{'Zhang, Hui'}",['Human neural systems underlying rigid and flexible forms of allocentric spatial representation']
743,"Markowitsch, Hans J.","['Risius, Uda-Mareke']",['10.3389/fnbeh.2013.00024'],"{'Risius, Uda-Mareke'}","['Retrieval, monitoring, and control processes: a 7 Tesla fMRI approach to memory accuracy']"
744,"Rudebeck, Sarah R.","['Lee, Andy C. H.']",['10.1162/jocn_a_00301'],"{'Lee, Andy C. H.'}",['Disentangling Spatial Perception and Spatial Memory in the Hippocampus: A Univariate and Multivariate Pattern Analysis fMRI Study']
745,"Cabeza, R.","['Daselaar, S. M.']",['10.3389/fnhum.2013.00038'],"{'Daselaar, S. M.'}",['Resting- state functionl connectivity of ventral parietal regions associated with attention reorienting and episodic recollection']
746,"D'Hooge, Rudi","['Woolley, Daniel G.']",['10.1073/pnas.1217832110'],"{'Woolley, Daniel G.'}",['Homologous involvement of striatum and prefrontal cortex in rodent and human water maze learning']
747,"Brewer, James B.","['Reas, Emilie T.']",['10.1162/jocn_a_00335'],"{'Reas, Emilie T.'}",['Retrieval Search and Strength Evoke Dissociable Brain Activity during Episodic Memory Recall']
748,"Ryan, Lee R.","['Nadel, Lynn']",['10.1162/jocn_a_00313'],"{'Nadel, Lynn'}",['Spatial Cognition and the Hippocampus: The Anterior-Posterior Axis']
749,"Alink, Arjen","['Staresina, Bernhard P.']",['10.1523/JNEUROSCI.4156-12.2012'],"{'Staresina, Bernhard P.'}",['Episodic Reinstatement in the Medial Temporal Lobe']
750,"Robaey, Philippe","['Bohbot, Veronique D.']",['10.3389/fnagi.2012.00028'],"{'Bohbot, Veronique D.'}",['Virtual navigation strategies from childhood to senescence: evidence for changes across the life span']
751,"Lee, Tatia M. C.","['Chan, Chetwyn C. H.']",['10.1002/hbm.21395'],"{'Chan, Chetwyn C. H.'}",['Cross auditory-spatial learning in early-blind individuals']
752,"Macaluso, Emiliano","['Kwok, Sze Chai']",['10.1016/j.neuropsychologia.2012.07.025'],"{'Kwok, Sze Chai'}",['Functional anatomy of temporal organisation and domain-specificity of episodic memory retrieval']
753,"Vaina, L. M.","['Calabro, F. J.']",['10.1007/s00221-012-3159-8'],"{'Calabro, F. J.'}",['Interaction of cortical networks mediating object motion detection by moving observers']
754,"Pluim, Josien P. W.","['Andersson, Patrik']",['10.1088/1741-2560/9/4/045004'],"{'Andersson, Patrik'}",['Real-time decoding of the direction of covert visuospatial attention']
755,"Nestor, Peter J.","['Pengas, George']",['10.3389/fnagi.2012.00017'],"{'Pengas, George'}","[""The relationship of topographical memory performance to regional neurodegeneration in Alzheimer's disease""]"
756,"Ziemann, Ulf","['Arai, Noritoshi']",['10.1007/s00221-012-3117-5'],"{'Arai, Noritoshi'}",['Effective connectivity between human supplementary motor area and primary motor cortex: a paired-coil TMS study']
757,"Mast, F. W.","['Lopez, C.']",['10.1016/j.neuroscience.2012.03.028'],"{'Lopez, C.'}",['THE HUMAN VESTIBULAR CORTEX REVEALED BY COORDINATE-BASED ACTIVATION LIKELIHOOD ESTIMATION META-ANALYSIS']
758,"Ptito, Maurice","['Gagnon, Lea', 'Kupers, Ron']","['10.1016/j.neuropsychologia.2012.03.022', '10.1073/pnas.1006199107']","{'Gagnon, Lea', 'Kupers, Ron'}","['Activation of the hippocampal complex during tactile maze solving in congenitally blind subjects', 'Neural correlates of virtual route recognition in congenital blindness']"
759,"Suzuki, Wendy A.","['Hargreaves, Eric L.']",['10.1016/j.neuron.2012.03.029'],"{'Hargreaves, Eric L.'}",['Conserved fMRI and LFP Signals during New Associative Learning in the Human and Macaque Monkey Medial Temporal Lobe']
760,"Suchan, Boris","['Pustina, Dorian']",['10.1016/j.bbr.2011.12.034'],"{'Pustina, Dorian'}","['Human memory manipulated: Dissociating factors contributing to MTL activity, an fMRI study']"
761,"Ramsey, Nick F.","['Bossong, Matthijs G.']",['10.1162/jocn_a_00156'],"{'Bossong, Matthijs G.'}",['Effects of Delta 9-Tetrahydrocannabinol Administration on Human Encoding and Recall Memory Function: A Pharmacological fMRI Study']
762,"Eden, Guinevere F.","['Weisberg, Jill']",['10.1016/j.neuroimage.2011.12.031'],"{'Weisberg, Jill'}",['Cortical plasticity for visuospatial processing and object recognition in deaf and hearing signers']
763,"Agato, Alvin","['Burton, Harold']",['10.1016/j.brainres.2011.12.032'],"{'Burton, Harold'}",['Recognition memory for Braille or spoken words: An fMRI study in early blind']
764,"Loevden, Martin","['Wenger, Elisabeth']",['10.1016/j.neuroimage.2011.11.015'],"{'Wenger, Elisabeth'}",['Cortical thickness changes following spatial navigation training in adulthood and aging']
765,"Woods, Steven Paul","['Schweinsburg, Brian C.']",['10.1007/s13365-011-0072-z'],"{'Schweinsburg, Brian C.'}",['Altered prefronto-striato-parietal network response to mental rotation in HIV']
766,"Thesen, Thomas","['Butler, Tracy']",['10.1017/S1355617711001421'],"{'Butler, Tracy'}",['Volume of the Human Septal Forebrain Region Is a Predictor of Source Memory Accuracy']
767,"Ernst, M.","['Mueller, S. C.']",['10.1016/j.neuroscience.2011.09.022'],"{'Mueller, S. C.'}",['GREY MATTER VOLUME CORRELATES WITH VIRTUAL WATER MAZE TASK PERFORMANCE IN BOYS WITH ANDROGEN EXCESS']
768,"Squire, Larry R.","['Smith, Christine N.', 'Song, Zhuang']","['10.1523/JNEUROSCI.3438-11.2011', '10.1523/JNEUROSCI.3012-11.2011']","{'Smith, Christine N.', 'Song, Zhuang'}","['The Hippocampus Supports Both Recollection and Familiarity When Memories Are Strong', 'Medial Temporal Lobe Function and Recognition Memory: A Novel Approach to Separating the Contribution of Recollection and Familiarity']"
